OTU	Size	Taxonomy
Otu00136	2100	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified(64);Oxalobacteraceae_unclassified(64);
Otu00137	2084	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00138	2076	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacterales]_unclassified(68);[Chthoniobacterales]_unclassified(68);[Chthoniobacterales]_unclassified(68);
Otu00139	2074	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified(82);Acidobacteriaceae_unclassified(82);
Otu00140	2071	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae(99);Rhodospirillaceae_unclassified(99);Rhodospirillaceae_unclassified(99);
Otu00141	2061	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetales_unclassified(65);Actinomycetales_unclassified(65);Actinomycetales_unclassified(65);
Otu00142	2043	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00143	1995	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu00144	1975	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium(79);Methylibium_unclassified(79);
Otu00145	1971	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;organophilum(93);
Otu00146	1964	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00147	1954	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00148	1916	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckiaceae_unclassified;Beijerinckiaceae_unclassified;
Otu00149	1901	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00150	1891	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa(90);borealis(88);
Otu00151	1883	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified(52);Caulobacteraceae_unclassified(52);
Otu00152	1848	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_unclassified;
